,Game ID,Game Event ID,Player ID,Player Name,Team ID,Team Name,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Shot Zone Basic,Shot Zone Area,Shot Zone Range,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Home Team,Away Team,Season Type
2579179,21000013,133,202331,Paul George,1610612754,Indiana Pacers,1,1,4,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,1,1,20101027,SAS,IND,Regular Season
2579180,21000013,150,202331,Paul George,1610612754,Indiana Pacers,1,0,1,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,38,-188,334,0,20101027,SAS,IND,Regular Season
2579181,21000013,170,202331,Paul George,1610612754,Indiana Pacers,2,10,5,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,29,126,0,20101027,SAS,IND,Regular Season
2579182,21000013,374,202331,Paul George,1610612754,Indiana Pacers,3,3,46,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,190,167,0,20101027,SAS,IND,Regular Season
2579183,21000013,378,202331,Paul George,1610612754,Indiana Pacers,3,3,19,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-185,176,0,20101027,SAS,IND,Regular Season
2579184,21000019,226,202331,Paul George,1610612754,Indiana Pacers,2,3,39,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,149,31,1,20101029,CHA,IND,Regular Season
2579185,21000019,253,202331,Paul George,1610612754,Indiana Pacers,2,2,24,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,14,1,20101029,CHA,IND,Regular Season
2579186,21000019,361,202331,Paul George,1610612754,Indiana Pacers,3,4,18,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-144,208,0,20101029,CHA,IND,Regular Season
2579187,21000019,380,202331,Paul George,1610612754,Indiana Pacers,3,3,4,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,17,0,20101029,CHA,IND,Regular Season
2579188,21000019,435,202331,Paul George,1610612754,Indiana Pacers,4,11,13,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,36,0,20101029,CHA,IND,Regular Season
