,Game ID,Game Event ID,Player ID,Player Name,Team ID,Team Name,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Shot Zone Basic,Shot Zone Area,Shot Zone Range,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Home Team,Away Team,Season Type
1411345,20400007,33,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,7,35,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,8,1,20041103,BOS,PHI,Regular Season
1411346,20400007,62,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,4,2,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,8,1,20041103,BOS,PHI,Regular Season
1411347,20400007,64,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,3,26,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,0,20041103,BOS,PHI,Regular Season
1411348,20400007,106,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,0,21,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,20041103,BOS,PHI,Regular Season
1411349,20400007,257,2738,Andre Iguodala,1610612755,Philadelphia 76ers,3,11,22,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,28,0,20041103,BOS,PHI,Regular Season
1411350,20400021,5,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,11,35,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20041105,PHI,PHX,Regular Season
1411351,20400021,18,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,10,3,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,171,189,1,20041105,PHI,PHX,Regular Season
1411352,20400021,162,2738,Andre Iguodala,1610612755,Philadelphia 76ers,2,7,52,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,3,0,20041105,PHI,PHX,Regular Season
1411353,20400021,168,2738,Andre Iguodala,1610612755,Philadelphia 76ers,2,7,29,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20041105,PHI,PHX,Regular Season
1411354,20400021,171,2738,Andre Iguodala,1610612755,Philadelphia 76ers,2,7,27,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20041105,PHI,PHX,Regular Season
1411355,20400021,257,2738,Andre Iguodala,1610612755,Philadelphia 76ers,3,11,1,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,108,107,1,20041105,PHI,PHX,Regular Season
1411356,20400021,397,2738,Andre Iguodala,1610612755,Philadelphia 76ers,4,10,5,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-151,64,1,20041105,PHI,PHX,Regular Season
1411357,20400021,399,2738,Andre Iguodala,1610612755,Philadelphia 76ers,4,9,40,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20041105,PHI,PHX,Regular Season
1411358,20400021,415,2738,Andre Iguodala,1610612755,Philadelphia 76ers,4,7,22,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-207,163,0,20041105,PHI,PHX,Regular Season
1411359,20400033,12,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,10,23,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20041106,DET,PHI,Regular Season
